Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
fortaleza;Moisés;37;402;23;16;3;8;32;6;7;3;28;1;0;24;10;21;6;0;0;136;0;0
santos;Sandry;22;401;2;21;7;6;0;13;0;1;10;1;0;11;13;8;0;0;1;3;2;0
athletico-pr;Orejuela;15;400;1;22;7;6;12;3;1;1;4;1;0;40;17;19;0;0;0;24;1;0
botafogo;Hugo Neto;16;398;3;26;8;10;8;5;1;0;13;1;0;63;19;11;0;0;0;33;4;1
palmeiras;Raphael Veiga;19;398;13;18;15;4;19;6;3;3;20;1;0;7;18;33;4;0;0;59;1;0
juventude;Paulo Henrique;26;394;4;38;25;6;28;7;2;1;28;0;0;37;32;13;3;0;1;65;3;0
america-mg;Matheusinho;28;392;10;25;15;11;25;4;2;1;34;1;0;9;18;34;3;0;0;78;3;1
athletico-pr;Fernandinho;13;390;4;9;4;4;5;6;1;2;19;3;0;19;26;15;1;0;0;29;5;0
botafogo;Jeffinho;24;389;21;26;1;10;38;0;2;3;23;0;0;8;24;34;1;0;0;128;3;0
juventude;César;25;388;0;0;0;0;0;0;0;0;1;65;12;49;0;4;0;0;0;2;2;0
botafogo;Gatito Fernández;32;385;0;0;0;0;0;0;0;0;0;61;30;29;0;6;0;0;0;2;1;0
goias;Matheus Sales;31;384;2;36;4;4;3;1;0;0;7;16;0;53;23;12;0;0;1;29;5;0
goias;Caio Vinícius;27;384;1;28;1;12;6;1;0;0;6;5;0;42;41;29;2;0;1;39;7;1
fortaleza;Lucas Sasha;19;384;5;54;0;11;0;0;1;0;4;3;0;49;21;16;1;0;0;25;2;0
flamengo;Rodrigo Caio;8;383;1;6;0;1;0;0;0;0;0;6;0;42;3;4;0;0;0;1;0;0
atletico-mg;Igor Rabello;7;375;2;11;0;9;1;2;1;1;2;6;0;46;7;3;0;0;0;1;1;0
atletico-go;Edson Fernando;25;369;1;23;3;5;9;5;0;0;2;5;0;29;19;23;0;0;0;26;8;0
america-mg;Matheus Cavichioli;25;368;0;1;0;0;2;0;0;0;0;72;22;49;1;4;0;0;1;1;1;0
flamengo;Everton;20;367;18;16;10;1;35;1;2;5;26;1;0;6;16;19;0;0;0;101;0;1
atletico-go;Luiz Fernando;29;367;17;22;7;6;12;5;2;4;19;2;0;20;26;38;11;0;0;63;7;2
fluminense;Felipe Melo;24;366;0;8;0;2;1;7;0;0;3;8;0;55;15;14;0;0;0;4;6;0
ceara;Rodrigo Lindoso;13;365;2;9;0;8;0;16;0;1;8;6;0;27;11;13;0;0;0;12;6;0
sao-paulo;Jandrei;19;363;0;0;0;0;1;0;0;0;1;35;12;26;0;3;0;0;0;0;0;0
atletico-mg;Dodô;13;363;2;19;4;2;3;1;1;0;10;0;0;26;10;7;1;0;0;15;1;0
botafogo;Eduardo;14;362;6;14;1;7;6;3;3;1;9;1;0;19;21;28;0;0;0;22;3;0
avai;Guilherme Bissoli;32;356;26;15;1;6;8;2;14;0;19;1;0;19;52;28;11;1;0;107;6;0
cuiaba;Walter;28;354;0;2;0;1;0;0;0;0;0;80;25;28;0;3;0;0;0;2;0;0
flamengo;Santos;19;353;0;1;0;0;0;0;0;0;1;55;4;18;0;2;0;0;0;0;1;0
goias;Vinícius;25;350;9;19;16;6;26;7;2;4;35;3;0;22;18;19;6;0;0;95;1;0
juventude;Isidro Pitta;32;349;25;3;3;3;19;2;5;2;16;1;0;17;27;52;19;0;0;105;2;0
santos;Luiz Felipe;13;348;1;11;0;5;1;0;1;1;2;8;0;87;13;3;1;0;0;2;3;0
sao-paulo;Arboleda;8;347;3;13;0;3;1;2;0;0;0;6;0;79;9;3;0;0;0;6;1;0
sao-paulo;Gabriel Neves;10;346;0;10;0;9;1;3;0;0;5;0;0;14;11;1;0;0;0;10;4;0
cuiaba;André Luis;33;346;11;26;8;0;12;0;3;0;26;2;0;12;31;54;3;3;0;79;6;0
juventude;William Matheus;14;345;2;9;3;2;1;0;0;0;5;3;0;74;12;6;0;0;2;11;4;1
sao-paulo;Alisson;15;343;7;12;14;3;5;2;1;2;8;1;0;10;14;16;0;0;0;25;5;0
cuiaba;Valdívia;27;343;13;16;12;5;14;0;2;0;19;1;0;12;17;26;2;0;0;65;4;1
cuiaba;Marcão Silva;26;337;5;20;2;6;4;4;0;0;5;5;0;57;25;4;0;0;0;22;1;0
fortaleza;Brayan Ceballos;16;336;3;23;0;4;2;1;0;0;2;6;0;107;14;3;1;0;0;14;8;1
athletico-pr;Bento;33;334;0;1;0;0;1;0;0;0;4;88;22;38;0;3;0;0;0;0;3;0
goias;Elvis;13;332;7;5;16;1;4;3;4;2;14;0;0;3;13;13;0;0;0;15;4;0
fortaleza;Yago Pikachu;14;332;12;11;12;5;4;5;4;0;19;2;0;24;11;30;3;0;0;33;3;0
fortaleza;Romarinho;26;332;7;11;8;2;30;2;3;3;18;0;0;10;18;32;3;0;0;68;3;1
internacional;Taison;20;328;5;10;8;4;9;2;1;1;12;0;0;1;8;24;3;0;0;27;6;0
coritiba;Jhon Chancellor;13;327;3;6;0;4;1;0;0;0;1;9;0;90;13;2;1;0;0;3;3;0
atletico-mg;Eduardo Sasha;27;327;15;12;0;3;5;3;3;1;19;0;0;7;11;21;3;0;0;38;1;0
cuiaba;Rodriguinho;33;325;14;9;3;3;11;3;3;2;17;1;0;8;15;24;6;0;0;80;0;0
botafogo;Gabriel Pires;14;324;6;11;5;7;4;2;2;0;9;1;0;14;11;10;0;0;1;29;3;0
botafogo;Patrick de Paula;18;324;8;17;3;10;4;9;1;0;4;4;0;21;14;24;0;0;1;27;4;0
atletico-mg;Ademir;35;324;13;28;13;5;25;5;2;1;26;0;0;11;19;58;13;1;0;87;4;0
flamengo;Andreas Pereira;13;323;7;8;9;4;3;3;2;1;10;0;0;18;14;8;1;0;0;18;2;0
fluminense;Cristiano;14;319;5;17;7;3;2;1;0;1;4;1;0;39;9;12;0;0;0;21;1;0
cuiaba;Denilson Alves;12;318;0;20;1;2;3;1;0;0;4;1;0;9;19;16;0;0;0;17;4;0
coritiba;Igor Paixão;18;317;14;12;17;6;36;6;4;4;24;2;0;23;10;43;0;0;0;87;3;0
athletico-pr;Vitor Bueno;21;316;8;10;4;3;8;6;4;1;14;4;0;7;10;20;1;0;0;44;2;0
flamengo;Marinho;25;315;16;14;22;7;26;6;4;5;24;1;0;10;21;71;6;2;0;86;6;1
fluminense;Calegari;10;315;0;10;3;2;1;1;0;1;6;3;0;24;6;17;0;0;0;20;1;0
avai;Renato;16;315;6;10;15;4;5;0;0;0;18;2;0;31;11;25;5;0;0;30;2;0
goias;Lucas Halter;17;313;5;12;0;1;0;0;0;0;0;18;0;103;6;1;1;0;0;3;2;0
internacional;Pedro Henrique;32;310;25;29;14;6;27;6;7;3;19;0;0;21;39;46;18;1;0;77;6;0
fluminense;Wellington;11;308;0;6;0;1;2;2;0;1;4;4;0;17;9;5;0;0;0;17;3;0
fortaleza;Ronald;20;307;1;18;2;3;6;2;0;0;10;0;0;12;22;9;0;0;0;50;5;0
goias;Pedro Raúl;34;306;44;8;1;6;15;1;19;2;20;4;0;39;49;32;20;0;0;131;8;0
america-mg;Martín Benítez;15;306;11;3;23;3;12;3;1;3;27;1;0;9;7;24;1;0;0;32;2;0
sao-paulo;Felipe Alves;18;301;0;0;0;0;1;0;0;0;0;39;19;31;0;0;0;0;1;1;1;0
athletico-pr;Vitinho;25;301;16;11;4;2;9;1;2;0;9;0;0;15;23;27;7;0;0;71;3;1
athletico-pr;Agustín Canobbio;25;301;9;16;8;7;8;0;2;0;18;0;0;12;25;33;3;1;0;72;2;0
cuiaba;Kelvin Osorio;18;301;2;16;19;3;3;1;0;0;17;0;0;22;18;5;2;0;1;16;2;0
internacional;Alexandre Alemão;34;300;21;16;7;5;25;1;8;5;20;0;0;9;56;62;2;3;0;155;3;0
avai;Natanael Pimenta;16;300;7;27;27;6;9;6;1;4;11;2;0;43;15;13;3;0;0;28;0;0
bragantino;Ramon;15;298;2;11;3;0;7;2;0;1;6;4;0;37;14;7;0;0;0;27;4;2
coritiba;Bernardo;19;293;0;21;1;3;1;1;0;0;7;3;0;31;20;17;0;0;0;40;1;0
cuiaba;Daniel Guedes;14;293;0;11;16;3;6;7;0;4;9;1;0;19;13;5;3;0;0;26;3;0
juventude;Capixaba;27;292;6;35;14;13;14;0;1;1;16;1;0;28;25;42;0;0;0;84;6;0
corinthians;Gustavo Mantuan;14;290;7;16;4;5;14;4;3;1;6;2;0;22;8;11;3;0;0;46;0;0
corinthians;Willian;14;289;7;16;6;6;29;8;0;2;11;0;0;5;6;30;2;0;0;43;1;0
coritiba;Rafael Santos;15;288;2;20;14;6;2;1;0;0;9;2;0;63;8;7;0;0;0;21;2;0
athletico-pr;Alex Santana;13;288;5;10;0;5;7;4;2;0;9;2;0;19;18;10;1;0;0;17;4;0
corinthians;Roni;19;283;3;19;1;4;1;2;0;1;3;2;0;13;14;6;0;0;1;20;5;1
coritiba;Fabrício Daniel;28;283;12;29;6;8;26;2;3;4;19;1;0;19;17;41;1;0;0;96;3;0
santos;Emiliano Velázquez;9;283;0;12;0;3;0;4;0;0;2;2;0;48;2;2;0;0;1;3;0;0
bragantino;Sorriso;31;283;10;19;7;7;11;0;2;1;14;4;0;17;22;31;1;0;0;97;3;0
avai;Jean Cléber;26;283;1;15;3;1;1;1;0;0;12;2;0;17;16;14;0;0;0;28;2;0
atletico-go;Ronaldo Strada;18;281;0;1;0;0;0;0;0;0;2;47;19;23;0;2;0;0;0;0;1;0
santos;Nathan Santos;9;280;0;8;4;3;7;0;0;0;4;0;0;22;10;6;0;0;1;23;1;1
avai;Muriqui;26;279;6;13;2;7;7;2;4;1;10;0;0;11;15;29;6;1;0;50;2;0
bragantino;Hyoran;26;276;17;19;13;3;6;7;3;3;13;2;0;13;17;14;1;0;0;63;1;0
coritiba;Guilherme Biro;14;274;0;10;5;9;1;2;0;0;4;1;0;19;14;3;1;0;0;9;3;0
coritiba;Guillermo de los Santos;14;274;4;16;1;8;0;2;0;1;0;8;0;90;5;6;0;0;0;3;2;1
santos;Marcos Leonardo;35;274;33;8;0;2;14;1;13;2;19;1;0;30;34;83;23;1;0;141;8;0
bragantino;Realpe;8;274;0;7;1;5;1;4;0;0;4;7;0;50;7;2;0;0;0;1;3;0
corinthians;Gustavo Mosquito;22;269;7;13;11;0;20;4;3;2;15;1;0;13;9;26;1;0;0;50;1;0
goias;Danilo Barcelos;22;269;0;18;15;3;2;0;0;1;7;5;0;46;30;9;1;0;0;18;8;0
america-mg;Danilo Avelar;19;268;8;10;5;8;1;0;0;2;5;5;0;66;21;9;0;0;0;9;2;0
corinthians;Yuri Alberto;20;267;22;7;3;5;9;0;8;1;15;1;0;10;26;33;7;0;0;101;4;1
america-mg;Iago Maidana;17;267;3;6;0;3;0;0;3;0;0;5;0;99;19;2;0;0;0;7;5;1
internacional;Daniel;23;264;0;1;0;0;1;0;0;0;0;50;20;24;0;6;0;0;0;3;4;0
sao-paulo;Marcos Guilherme;17;262;3;2;3;1;2;0;1;0;6;1;0;2;4;5;1;0;0;16;1;0
athletico-pr;Pablo;25;262;15;12;0;5;8;5;4;1;23;1;0;20;41;18;13;0;0;62;6;0
goias;Sávio;11;261;2;11;18;2;6;4;0;1;19;0;0;42;7;9;0;0;0;12;6;1
internacional;Moisés;8;260;5;8;3;5;6;1;2;1;5;1;0;28;9;8;1;0;0;11;5;0
ceara;Erick;24;260;12;8;11;3;30;8;2;0;30;0;0;8;13;36;6;0;0;75;5;0
atletico-go;Airton Moisés;33;260;13;29;19;3;17;0;2;5;20;2;0;19;32;24;0;0;0;79;3;1
coritiba;Val;13;259;3;16;2;5;6;4;0;1;4;2;0;15;15;11;0;0;0;21;6;0
corinthians;Mateus Vital;16;257;3;15;4;6;14;0;0;2;8;2;0;5;10;18;2;0;0;36;1;0
america-mg;Luan Patrick;10;257;1;13;7;4;0;4;0;0;7;5;0;53;7;3;0;0;0;2;3;0
goias;Hugo;15;252;1;13;8;6;2;2;0;0;10;2;0;53;11;6;1;0;0;17;3;0
atletico-go;Klaus;11;252;0;4;0;0;0;1;0;0;2;1;0;60;6;2;1;0;0;2;1;0
coritiba;Alex Muralha;19;251;0;1;0;0;0;0;0;0;0;45;17;29;0;4;0;0;0;1;1;0
juventude;Jean Irmer;25;250;6;40;2;11;0;5;0;1;5;8;0;57;24;14;1;0;0;21;6;0
bragantino;Andrés Hurtado;16;250;1;15;7;2;7;0;0;2;4;1;0;28;7;4;1;0;1;16;1;0
corinthians;João Victor;7;249;0;5;0;5;1;2;0;0;0;1;0;56;7;5;0;0;0;5;2;0
fluminense;Luiz Henrique;14;249;6;28;3;7;20;0;2;3;14;1;0;15;18;20;2;0;0;65;0;0
palmeiras;Vanderlan;13;247;3;14;8;9;2;0;1;1;9;2;0;24;13;8;0;0;0;8;1;0
flamengo;Lázaro;21;242;13;14;4;0;6;3;4;2;12;0;0;7;16;17;3;0;0;49;2;0
palmeiras;Eduard Atuesta;26;242;8;8;5;7;12;0;1;0;11;0;0;6;15;9;3;0;0;34;4;0
coritiba;Léo Gamalho;28;239;19;11;0;1;3;3;8;0;14;2;0;13;23;34;7;1;0;49;2;0
coritiba;Andrey;6;237;8;16;2;3;6;1;3;0;7;0;0;7;11;11;0;1;0;20;1;0
atletico-go;Renan Santos;16;236;0;0;0;0;0;0;0;0;1;51;22;30;0;3;0;0;0;1;2;0
botafogo;Tiquinho Soares;14;232;20;5;1;0;7;2;6;2;7;1;0;18;21;42;12;0;0;71;1;0
atletico-mg;Cristian Pavón;18;232;5;8;4;5;11;10;1;0;14;0;0;4;11;8;1;0;0;33;2;0
internacional;Liziero;14;232;0;15;3;2;3;0;0;0;4;1;0;11;15;10;0;0;0;18;3;0
goias;Luan Dias;22;231;3;19;3;4;6;2;0;0;11;1;0;5;21;15;1;0;0;43;7;0
santos;Luan;8;230;3;3;4;0;2;0;1;1;8;0;0;1;4;15;0;0;0;24;0;0
avai;Rodrigo Freitas;10;229;0;3;1;1;0;0;0;0;1;4;0;49;3;5;0;0;0;2;2;0
santos;Carlos Sánchez;14;227;3;7;13;2;1;6;0;1;14;2;0;9;11;14;2;0;0;10;3;0
america-mg;Henrique Almeida;28;226;25;15;3;0;3;0;6;0;10;0;0;7;35;12;13;1;0;82;8;0
america-mg;Pedrinho;19;224;15;7;6;7;23;5;4;2;20;0;0;13;19;10;4;0;0;64;5;0
sao-paulo;Galoppo;14;223;9;10;1;3;2;4;1;0;8;0;0;12;13;6;0;0;0;24;3;0
santos;Léo Baptistão;17;222;12;15;1;6;13;4;5;1;11;1;0;21;16;33;1;0;0;49;1;0
santos;Jhojan Julio;14;221;2;25;4;2;8;9;0;2;8;2;0;4;23;21;5;0;0;54;2;0
botafogo;Lucas Piazon;17;220;2;9;4;3;1;0;0;0;17;0;0;9;7;6;1;0;0;36;2;1
coritiba;Thonny Anderson;18;220;1;18;9;4;12;0;0;1;15;1;0;7;20;15;0;0;0;42;5;2
corinthians;Ramiro;12;219;3;12;1;3;0;0;0;1;5;1;0;22;8;5;2;1;0;10;3;0
ceara;Guilherme Castilho;17;218;6;13;4;2;1;2;1;1;6;2;0;19;12;11;1;0;0;25;1;0
athletico-pr;Léo Cittadini;20;217;3;14;0;4;2;1;1;1;2;1;0;12;16;17;0;0;0;20;2;0
fortaleza;Robson Fernandes;29;216;16;15;4;5;10;6;4;4;19;2;0;20;45;37;18;1;0;92;6;0
sao-paulo;Talles Costa;12;214;2;12;3;5;8;1;0;3;4;0;0;6;6;15;0;0;0;17;1;0
bragantino;Praxedes;15;210;4;14;3;2;4;2;1;2;4;0;0;3;13;19;2;0;0;21;3;0
juventude;Pegorari;13;209;0;0;0;0;0;1;0;0;1;45;6;17;0;2;0;0;0;0;3;0
ceara;Lucas Ribeiro;9;209;1;0;0;1;3;5;1;0;1;2;0;26;7;5;0;0;0;4;2;0
america-mg;Ricardo Silva;11;207;0;6;0;4;0;4;0;0;0;7;0;67;13;6;0;0;1;3;2;0
cuiaba;Felipe Marques;25;206;4;10;6;4;12;1;0;2;12;1;0;4;11;18;4;1;0;63;1;0
flamengo;Erick Pulgar;6;205;1;4;3;2;2;2;0;0;3;1;0;21;11;2;0;0;0;5;1;0
fortaleza;Thiago Galhardo;19;205;17;12;1;5;15;1;7;1;13;1;0;13;17;20;3;1;0;66;5;0
fortaleza;Anthony Landazuri;7;204;1;5;2;4;1;3;0;0;2;3;0;31;16;5;0;1;0;8;1;0
coritiba;Régis;22;200;4;13;4;2;4;1;1;2;13;0;0;3;17;8;1;2;0;31;2;0
corinthians;Bruno Melo;7;199;1;3;1;2;0;0;0;0;1;0;0;25;6;5;3;0;0;4;1;0
flamengo;Hugo Souza;15;199;0;2;0;0;2;0;0;0;0;26;11;32;0;0;0;0;0;0;3;0
sao-paulo;Nikão;11;199;5;4;13;0;7;8;3;0;14;0;0;4;2;12;3;0;0;18;2;0
botafogo;Júnior Santos;15;197;8;17;5;2;17;2;1;2;12;2;0;18;19;12;4;0;1;76;1;0
athletico-pr;Matheus Fernandes;14;197;4;20;0;5;2;2;0;0;5;4;0;21;14;4;0;0;0;17;2;0
avai;Mateus Sarará;8;197;1;6;1;0;0;2;1;0;1;2;0;23;7;10;0;0;0;2;3;0
coritiba;Matías Galarza;11;196;1;18;4;3;3;0;0;0;8;2;0;9;27;15;0;0;0;25;5;0
cuiaba;Alesson;21;196;10;18;3;3;5;1;2;0;12;1;0;3;18;7;0;0;0;66;3;0
juventude;Felipe Pires;11;195;3;2;2;1;9;1;0;2;8;0;0;3;14;16;3;0;0;20;6;0
cuiaba;Deyverson;16;193;20;6;2;2;10;1;6;0;17;0;0;24;13;29;13;0;0;56;4;0
fortaleza;Fernando Miguel;20;191;0;0;0;0;0;0;0;0;1;62;17;19;0;4;0;0;0;1;2;0
coritiba;Gabriel Vasconcelos;13;189;0;0;0;0;0;0;0;0;1;30;15;22;0;1;0;0;1;0;2;0
goias;Nicolas;29;189;9;4;2;2;6;1;5;2;13;1;0;24;24;23;10;0;0;64;0;0
fortaleza;Matheus Jussa;12;189;3;3;0;4;2;0;0;1;7;0;0;23;16;0;1;0;1;18;1;0
ceara;Geovane;17;189;1;9;0;3;1;0;0;0;3;2;0;10;18;13;0;0;0;14;4;0
avai;Thales Oleques;9;187;0;8;4;2;1;0;0;0;5;1;0;33;1;0;0;0;0;10;1;0
juventude;Ricardo Bueno;16;185;8;9;2;1;7;4;2;0;8;0;0;12;14;29;4;1;0;51;3;0
juventude;Bruno Nazário;12;183;3;6;12;2;4;4;1;0;18;0;0;0;10;13;0;0;0;33;4;0
ceara;Cléber;21;183;14;16;1;4;3;1;4;0;18;0;0;9;38;6;5;0;0;43;6;1
internacional;Kaique Rocha;7;182;2;4;0;4;1;0;0;0;0;2;0;34;3;3;0;0;0;4;2;0
athletico-pr;Rômulo;26;180;7;18;1;4;7;2;1;1;8;2;0;20;14;14;1;0;0;62;1;0
santos;Lucas Barbosa;26;178;6;31;1;7;1;9;2;1;6;2;0;18;26;28;4;0;0;40;4;1
santos;Auro Jr;8;178;0;7;2;2;3;0;0;0;4;1;0;20;8;1;0;0;0;10;3;0
palmeiras;Jorge;9;178;0;8;2;1;5;0;0;0;6;1;0;25;5;10;0;0;0;16;1;0
juventude;Ygor Nogueira;5;175;1;11;0;5;1;1;0;0;2;2;0;37;2;3;0;0;1;3;1;0
fluminense;Luccas Claro;10;174;0;3;0;1;0;0;0;0;0;4;0;55;6;6;0;0;0;6;2;0
juventude;Óscar Ruiz;24;174;9;9;8;2;4;1;5;1;11;0;0;8;4;13;5;1;0;43;1;0
santos;Bruno Oliveira;14;173;5;7;9;0;7;3;0;1;11;0;0;4;6;18;0;0;0;22;2;0
fluminense;Mario Pineida;7;172;0;0;1;0;0;0;0;0;3;0;0;10;6;6;0;0;0;17;0;0
flamengo;Bruno Henrique;8;171;9;12;3;1;8;1;1;2;9;1;0;9;11;20;8;0;0;28;3;0
coritiba;Diego Porfirio;8;171;0;10;0;4;3;0;0;0;2;1;0;17;3;6;1;0;0;12;4;1
internacional;David;21;170;5;11;4;2;4;1;0;2;4;1;0;7;22;16;7;0;0;42;3;1
avai;Marcinho;15;164;6;10;3;1;3;4;1;0;15;1;0;0;12;10;1;0;1;28;1;0
flamengo;Matheus França;17;162;7;14;1;2;10;4;4;0;11;1;0;12;14;5;0;0;0;37;1;0
goias;Da Silva;7;162;2;4;0;0;0;1;1;0;0;5;0;68;4;1;0;0;0;2;3;0
ceara;Marcos Victor;6;162;0;8;0;2;1;0;0;0;2;3;0;29;3;4;1;0;0;4;2;0
flamengo;Gustavo Henrique;5;157;2;2;0;1;0;1;1;0;1;6;0;34;5;0;0;0;0;1;0;0
flamengo;Vitinho;11;156;4;7;2;1;4;2;0;0;8;1;0;4;13;5;0;0;0;16;1;0
internacional;Bruno Méndez;24;155;2;3;1;2;0;4;1;0;0;4;0;47;3;1;0;0;0;5;1;0
atletico-go;Léo Pereira;30;155;7;26;9;4;10;0;1;1;10;2;0;9;38;23;4;0;0;90;9;0
sao-paulo;João Moreira;5;154;0;3;2;2;9;1;0;1;1;1;0;5;5;5;0;0;1;9;1;0
santos;Soteldo;7;154;3;2;10;0;18;2;0;1;17;0;0;2;4;13;1;0;0;44;1;0
avai;Douglas Friedrich;11;154;0;0;0;0;0;0;0;0;0;16;9;23;1;2;0;0;0;0;1;1
botafogo;Chay;12;153;4;13;3;8;6;3;0;0;6;0;0;4;10;18;0;0;0;39;3;0
corinthians;Robson Bambu;7;152;0;8;0;3;3;1;0;0;1;2;0;44;3;4;0;0;0;5;0;0
avai;Morato;14;152;7;11;2;1;5;1;2;1;7;1;0;5;17;19;3;0;0;50;0;1
coritiba;Warley;15;151;2;4;3;4;3;0;0;0;6;1;0;14;10;10;0;0;0;37;1;2
botafogo;Vinícius Lopes;16;150;4;20;2;5;12;0;2;0;10;1;0;9;18;26;3;0;0;44;3;0
botafogo;Del Piage;14;150;2;17;0;5;2;3;1;0;7;3;0;13;15;13;0;1;0;14;3;0
goias;Yan;8;150;1;4;1;2;0;0;1;0;0;10;0;83;10;2;0;0;3;6;3;0
goias;Marquinhos Gabriel;12;149;4;7;8;3;3;4;1;2;12;1;0;3;6;17;3;0;0;28;1;0
internacional;Keiller;15;148;0;0;0;0;0;0;0;0;0;29;14;19;0;6;0;0;1;0;2;0
botafogo;Erison;20;147;21;8;1;2;10;0;7;1;15;0;0;4;30;24;13;0;0;96;2;0
coritiba;Nathan Mendes;10;145;0;5;2;4;5;0;0;1;3;2;0;26;8;12;0;0;0;14;1;1
america-mg;Aloísio;22;145;18;8;1;3;0;0;4;2;11;0;0;7;37;18;11;0;0;47;5;0
flamengo;Mauricio Isla;6;144;1;2;2;0;2;0;1;0;3;0;0;10;3;2;0;0;1;6;0;0
santos;Alex;4;144;2;4;0;3;0;0;1;0;0;8;0;19;2;4;0;0;0;2;1;0
atletico-mg;Calebe;13;143;2;7;2;3;1;0;0;0;4;1;0;1;4;11;0;0;0;9;1;0
fortaleza;Silvio Romero;30;143;11;2;2;0;4;0;2;2;14;0;0;9;7;10;12;0;0;53;1;0
santos;Gabriel Carabajal;8;141;3;5;5;4;2;4;1;0;5;0;0;6;11;6;0;0;0;19;2;0
internacional;Rodrigo Dourado;8;141;1;13;0;2;0;0;0;0;1;0;0;18;9;4;0;0;0;9;2;0
internacional;Heitor;5;141;1;15;5;4;1;1;0;0;7;1;0;16;2;1;0;0;0;5;2;0
athletico-pr;Christian Roberto;9;140;4;9;1;1;3;4;0;0;6;0;0;9;17;6;2;0;0;16;3;0
palmeiras;Wesley;19;137;7;13;5;1;11;0;1;1;8;1;0;9;8;20;1;0;0;55;2;0
america-mg;Juan Ramírez;16;136;4;5;1;3;5;0;1;1;6;1;0;7;11;12;1;0;0;27;3;0
sao-paulo;Andrés Colorado;8;135;0;10;0;4;0;4;0;0;4;1;0;13;10;1;0;0;0;9;0;0
ceara;Zé Roberto;21;135;7;5;0;2;5;2;2;1;8;1;0;5;24;24;3;1;0;44;6;1
cuiaba;Sidcley;7;135;1;0;1;5;2;3;1;0;6;0;0;10;0;2;0;0;0;8;0;0
flamengo;Pedro;24;133;26;5;0;4;5;0;11;3;13;0;0;12;17;13;4;1;0;57;3;0
fluminense;Willian;28;133;8;10;2;3;2;0;3;1;5;0;0;8;8;3;2;0;0;35;2;0
ceara;Jô;15;131;9;1;0;2;1;0;2;0;13;0;0;13;14;10;7;0;0;19;1;1
bragantino;Carlos Eduardo;24;125;4;12;2;7;12;4;0;1;2;1;0;7;31;27;5;1;0;68;4;0
atletico-go;Kelvin;11;124;8;2;2;0;4;0;1;0;8;0;0;0;0;4;1;0;0;20;0;0
juventude;Marlon;10;121;0;7;3;2;1;0;0;0;5;0;0;5;13;6;0;0;0;15;1;0
america-mg;Emmanuel Martínez;4;120;3;8;4;2;5;1;0;0;4;0;0;1;3;7;0;0;0;12;1;0
bragantino;Alerrandro;20;119;20;5;0;3;3;0;6;0;7;0;0;7;11;15;5;0;0;41;3;0
fortaleza;Marcelo Boeck;13;118;0;0;0;0;0;0;0;0;0;32;12;19;0;3;0;0;1;1;2;0
america-mg;João Paulo;6;118;1;5;6;4;0;2;0;0;5;1;0;20;3;0;0;0;0;8;0;0
cuiaba;André Felipe;17;118;4;7;0;1;6;1;3;0;5;0;0;4;16;21;1;0;0;33;2;0
america-mg;Gustavinho;10;117;1;8;2;4;7;4;0;0;2;0;0;2;7;12;0;0;0;26;2;0
america-mg;Jaílson;12;117;0;0;0;0;1;0;0;0;0;35;8;13;0;0;0;0;0;1;1;0
ceara;David Ricardo;5;116;1;5;0;1;0;0;0;0;0;4;0;18;4;6;0;0;0;7;2;0
botafogo;Diego Gonçalves;10;115;5;2;2;3;1;0;2;0;4;0;0;7;8;6;2;0;0;26;1;0
coritiba;Adrián Martínez;22;114;10;9;0;2;3;0;4;0;10;0;0;2;21;9;7;0;0;42;7;0
palmeiras;Gabriel Veron;12;114;6;11;1;5;3;0;1;3;9;0;0;4;4;5;0;1;0;25;0;0
botafogo;Lucas Mezenga;4;113;1;9;0;3;0;1;0;0;1;2;0;26;4;1;1;0;1;3;1;0
juventude;Busanello;4;113;3;4;4;3;0;0;0;2;0;2;0;15;6;2;0;0;0;2;0;0
fortaleza;Pedro Rocha;19;113;8;6;5;4;10;0;3;4;10;0;0;9;7;5;5;1;0;37;1;0
santos;Ricardo Goulart;11;112;1;5;1;1;1;0;0;0;8;0;0;6;6;8;0;0;0;16;2;0
sao-paulo;Éder;23;111;6;7;2;0;2;3;3;0;5;1;0;1;9;10;9;1;0;26;4;0
santos;Ed Carlos;6;111;0;2;2;0;0;1;0;1;5;0;0;2;2;0;0;0;0;4;0;0
atletico-mg;Pedrinho;7;109;2;2;0;2;4;0;0;0;5;0;0;3;1;6;0;0;0;8;0;0
bragantino;Miguel;17;108;5;11;10;1;3;1;1;2;12;0;0;3;8;13;0;1;0;32;1;0
america-mg;Zé Ricardo;9;108;0;4;0;0;0;2;0;0;2;1;0;6;5;4;0;0;0;11;0;0
coritiba;Boschilia;12;107;6;6;2;4;0;1;0;0;7;0;0;5;11;8;0;0;0;18;2;0
avai;Wellington Nascimento;3;106;1;2;0;2;1;1;0;0;1;4;0;17;3;1;0;0;1;0;0;0
botafogo;Rafael;7;104;0;10;8;3;3;0;0;0;5;0;0;12;7;3;0;0;0;6;1;0
fluminense;Alexsander;3;102;1;1;1;3;3;0;0;0;4;0;0;6;1;3;0;0;0;6;0;0
