Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
athletico-pr;Abner Vinícius;28;923;3;34;14;11;5;3;1;3;29;4;0;96;26;10;1;0;0;34;6;0
bragantino;Luan Cândido;32;911;31;27;4;9;8;0;11;2;20;9;0;157;40;13;9;0;4;44;4;2
atletico-mg;Jair;31;907;7;58;9;18;8;7;1;4;16;3;0;28;45;31;0;0;1;54;5;0
flamengo;Everton Ribeiro;30;901;14;26;22;15;24;6;2;4;38;0;0;11;31;62;1;0;0;73;0;0
botafogo;Tchê Tchê;29;899;4;21;0;9;6;8;1;0;12;2;0;27;41;42;0;1;0;33;3;0
cuiaba;Pepê;30;899;10;50;23;11;11;19;1;0;42;1;0;41;39;43;0;0;0;73;4;0
botafogo;Daniel Borges;26;897;3;28;29;5;8;11;1;3;28;2;0;84;21;13;1;0;0;45;4;1
atletico-go;Wanderson;28;897;1;10;0;2;1;9;0;0;5;21;0;217;19;6;2;0;0;5;2;0
internacional;Edenílson;31;894;14;25;21;9;7;12;6;3;34;1;0;35;17;22;1;1;0;72;3;0
flamengo;David Luiz;19;884;7;8;0;6;0;1;0;0;5;10;0;87;25;5;2;0;0;14;4;0
atletico-mg;Mariano;25;880;0;41;32;12;6;14;0;2;28;1;0;54;18;13;1;0;0;24;5;0
internacional;Gabriel Mercado;26;873;4;31;0;6;0;1;0;0;5;15;0;136;22;18;2;1;0;6;9;1
bragantino;Léo Ortiz;22;868;2;17;6;13;9;22;1;2;11;21;0;177;14;8;1;0;0;14;4;0
corinthians;Fausto Vera;18;866;5;39;1;9;8;11;0;0;6;9;0;57;15;13;0;0;2;31;5;0
corinthians;Raul Gustavo;20;866;3;21;1;11;0;6;2;1;3;11;0;156;15;18;0;0;1;14;3;0
flamengo;Gomes;29;861;5;68;0;9;5;6;0;1;14;2;0;39;55;50;0;0;0;55;8;0
atletico-mg;Guga;22;856;1;44;14;12;5;3;0;2;18;3;0;78;19;21;1;0;0;29;1;0
america-mg;Juninho;35;837;13;41;11;19;9;7;5;5;40;12;0;58;33;35;4;1;1;105;5;0
fortaleza;Titi;34;836;0;32;1;12;4;2;0;0;2;8;0;177;54;27;2;0;0;22;5;0
america-mg;Alê;28;831;5;37;2;15;7;13;2;3;16;5;0;52;45;50;0;0;2;50;2;1
corinthians;Lucas Piton;28;829;2;42;23;16;11;10;1;3;16;4;0;73;40;10;1;0;0;51;2;0
corinthians;Renato Augusto;25;814;12;27;14;8;7;11;1;3;32;2;0;12;16;23;2;0;0;55;0;0
corinthians;Roger Guedes;36;811;35;3;9;2;29;26;10;2;33;2;0;14;16;55;10;0;0;117;6;0
cuiaba;Alan Empereur;28;807;1;19;0;4;2;3;1;0;3;14;0;163;20;22;1;0;0;9;9;1
sao-paulo;Diego;21;802;1;30;3;10;6;16;1;0;6;11;0;131;35;9;0;0;1;13;7;0
bragantino;Artur;33;800;30;19;46;12;36;4;6;6;65;7;0;19;18;51;12;0;0;121;3;0
america-mg;Marlon;29;798;6;44;18;20;14;3;0;1;27;12;0;87;34;31;0;0;0;38;5;1
santos;Camacho;26;797;5;45;3;6;2;4;1;1;10;11;0;51;38;7;0;0;0;12;8;0
fluminense;Nonato;17;794;3;18;9;11;7;0;0;2;19;2;0;26;16;33;1;0;0;26;3;1
flamengo;Léo Pereira;13;792;2;12;4;6;0;4;0;0;6;6;0;54;15;9;2;0;1;4;4;0
palmeiras;Dudu;38;792;30;10;20;20;37;20;7;8;58;1;0;11;16;64;4;0;0;119;2;0
atletico-mg;Otávio;24;789;1;31;0;4;3;5;0;0;3;3;0;38;26;6;0;0;0;10;2;0
botafogo;Lucas Fernandes;24;787;16;12;22;7;20;13;2;3;29;4;0;15;29;27;0;0;0;57;3;0
avai;Bressan;21;781;1;10;1;8;2;13;0;0;4;20;0;151;24;9;0;0;1;3;5;0
sao-paulo;Igor Gomes;33;779;4;19;23;11;14;15;0;4;38;3;0;22;34;29;3;0;0;56;5;1
sao-paulo;Rodrigo Nestor;29;771;15;32;20;16;12;2;3;3;30;3;0;16;40;15;2;0;0;86;7;0
sao-paulo;Wellington;32;768;7;37;36;7;21;2;0;6;29;0;0;55;18;31;1;0;0;60;4;1
goias;Dieguinho;34;766;4;38;24;25;21;3;2;5;17;15;0;99;34;77;1;1;0;104;4;0
fluminense;Caio Paulista;27;765;12;21;9;5;24;0;1;3;13;5;0;40;10;23;2;0;0;91;3;1
santos;Maicon;23;761;4;30;3;5;5;21;0;1;5;23;0;164;8;7;2;0;0;12;1;0
santos;Madson;27;753;4;29;13;14;0;2;3;2;20;16;0;111;19;20;1;0;0;28;6;0
ceara;Vinícius;31;745;26;2;47;8;11;16;3;2;67;1;0;15;11;38;6;1;0;62;9;2
atletico-go;Wellington Rato;36;745;33;27;22;7;21;31;8;3;43;2;0;33;32;52;5;0;0;104;3;0
atletico-mg;Everson;37;741;0;0;0;0;0;0;0;0;2;62;19;45;0;4;0;0;0;0;5;0
athletico-pr;Pedro Henrique;28;740;6;40;2;16;1;10;0;1;9;20;0;236;22;22;0;0;0;10;7;0
botafogo;Fernando Marçal;18;739;5;27;43;13;12;5;1;2;43;3;0;84;26;18;0;0;0;31;6;0
santos;Vinicius Zanocelo;28;738;16;34;2;11;4;16;3;0;20;5;0;51;44;12;2;0;2;40;9;0
atletico-mg;Federico Zaracho;26;735;13;50;4;14;6;4;2;2;25;0;0;20;33;26;1;0;0;84;3;0
ceara;Richardson;31;733;1;53;1;10;4;15;0;0;12;2;0;46;65;37;0;0;1;31;14;1
ceara;Nino Paraíba;33;726;2;37;43;13;20;8;1;1;34;3;0;113;32;43;1;1;0;85;11;0
atletico-go;Edson Felipe;17;712;1;26;0;9;0;1;0;0;2;15;0;116;11;15;1;1;1;11;5;0
palmeiras;Mayke;28;711;8;28;14;8;10;2;3;0;26;5;0;66;17;11;3;0;0;30;2;0
ceara;Lima;31;702;12;31;15;10;9;6;3;0;29;3;0;25;26;53;3;0;0;78;2;1
cuiaba;Joaquim;25;700;8;39;1;8;1;5;1;1;5;12;0;224;26;20;1;0;0;19;4;0
juventude;Yuri Lima;22;697;6;20;2;11;6;4;0;0;15;7;0;16;45;14;0;0;0;31;6;1
coritiba;Henrique;18;696;4;13;1;5;0;8;0;0;1;21;0;99;13;5;1;0;2;5;5;1
america-mg;Patric;30;693;5;29;47;6;6;4;0;0;36;5;0;96;28;21;4;0;0;48;6;0
fortaleza;Marcelo Benevenuto;31;687;7;25;0;12;5;2;0;1;2;21;0;284;19;20;0;0;2;18;5;0
athletico-pr;Khellven;28;682;6;32;22;15;12;5;1;2;25;6;0;104;33;21;0;0;1;55;1;0
ceara;Victor Luis;24;679;3;16;13;5;2;5;0;0;13;6;0;69;25;22;0;0;0;39;1;0
internacional;Alan Patrick;26;676;23;9;17;4;14;3;6;4;43;0;0;5;20;41;1;0;0;72;3;0
atletico-go;Dudu;22;675;5;31;22;8;10;2;1;2;27;11;0;62;11;14;2;0;0;41;1;0
goias;Caetano;26;674;4;24;0;14;2;5;1;0;8;18;0;166;23;10;0;0;2;10;1;0
coritiba;Willian Farias;21;673;0;35;2;9;12;14;0;0;15;5;0;34;12;25;0;0;0;35;7;0
botafogo;Saravia;25;669;2;57;6;11;18;1;0;2;13;3;0;66;35;42;0;0;0;78;10;0
avai;Arthur Chaves;17;668;2;18;0;5;1;1;1;0;2;16;0;135;13;10;1;0;3;7;5;0
fortaleza;José Welison;27;665;7;34;5;12;7;14;2;0;14;6;0;60;40;17;0;0;0;40;6;0
flamengo;Arturo Vidal;15;661;4;20;5;10;2;14;2;1;15;2;0;13;19;10;0;0;1;11;2;0
juventude;Rafael Forster;19;653;4;27;2;8;5;4;0;0;5;15;0;157;13;14;0;0;0;8;1;0
fluminense;Fábio;38;651;0;0;0;0;2;1;0;0;1;77;36;53;0;5;0;0;0;0;2;0
bragantino;Cleiton;37;650;0;1;0;0;0;1;0;0;4;88;27;69;0;11;0;0;2;0;3;0
goias;Reynaldo;32;649;2;40;0;8;1;2;0;0;5;19;0;279;34;8;0;0;0;7;4;0
juventude;Chico;33;647;14;39;35;12;17;11;1;2;44;3;0;29;53;67;3;0;0;80;3;1
internacional;Johnny;24;643;10;38;2;15;11;3;3;2;17;8;0;55;28;17;1;0;1;52;5;0
america-mg;Lucas Kal;28;639;8;20;0;13;2;7;0;0;15;9;0;96;30;10;0;0;0;43;3;0
flamengo;Fabrício Bruno;13;632;2;8;2;1;0;9;2;1;1;4;0;87;8;9;0;0;0;4;5;0
palmeiras;Weverton;34;631;0;1;0;0;0;0;0;0;1;71;17;37;0;4;0;0;0;3;0;0
juventude;Thalisson Kelven;25;627;3;13;1;5;1;1;0;0;2;24;0;160;17;8;0;0;0;10;3;0
ceara;Luiz Otávio;23;626;2;24;0;14;1;2;1;0;5;18;0;163;18;10;1;1;3;10;7;1
atletico-mg;Réver;15;623;1;8;0;3;1;5;1;0;1;5;0;88;8;6;0;0;1;6;2;0
atletico-go;Jorginho;30;623;9;21;18;4;22;13;3;0;40;1;0;24;16;30;6;0;0;48;8;1
corinthians;Rafael Ramos;20;622;1;31;7;10;11;2;0;1;11;2;0;68;21;15;0;0;0;18;3;0
sao-paulo;Luciano;31;616;32;20;4;3;8;19;11;2;20;2;0;11;24;33;10;1;0;66;9;0
juventude;Vitor Mendes;19;615;4;18;0;9;0;1;1;0;3;9;0;168;15;15;0;0;1;9;10;1
santos;Lucas Pires;20;611;7;29;31;9;22;1;0;0;25;5;0;44;16;10;1;0;0;62;2;1
cuiaba;Rafael Gava;29;607;12;22;49;5;3;4;1;2;42;3;0;24;29;21;4;0;0;56;2;1
avai;Eduardo;31;606;9;24;5;3;11;5;1;2;22;2;0;23;45;36;1;0;0;72;6;0
flamengo;Arrascaeta;24;605;21;30;50;7;18;6;3;9;45;0;0;6;9;47;2;1;0;82;1;0
juventude;Paulo Miranda;19;602;3;3;0;11;1;2;0;0;1;14;0;143;15;7;0;0;3;9;5;0
atletico-go;Ramon Menezes;14;594;4;5;0;4;0;5;0;0;1;5;0;115;10;0;0;0;0;3;2;0
botafogo;Kanu;19;589;2;11;0;9;2;3;0;0;2;11;0;123;15;13;0;0;0;5;5;0
sao-paulo;Patrick;31;589;8;49;19;12;20;4;5;4;22;0;0;24;30;38;3;0;0;122;6;0
corinthians;Cantillo;19;585;0;20;9;11;0;16;0;0;5;3;0;36;11;21;0;0;0;9;1;0
